row,col
10,24
11,33
15,35
19,37
13,38
5,39
4,47
41,49
15,56
35,56
45,59
5,64
39,64
12,66
65,67
42,68
14,69
46,70
42,71
68,71
65,76
67,76
32,77
58,79
19,83
37,83
61,85
42,87
68,87
71,87
42,88
68,88
71,88
87,88
61,94
85,94
92,96
22,97
11,98
33,98
11,100
33,100
98,100
42,101
68,101
71,101
87,101
88,101
61,102
85,102
94,102
15,106
35,106
56,106
7,107
61,108
85,108
94,108
102,108
25,111
19,112
37,112
83,112
53,113
7,116
107,116
16,118
16,121
118,121
13,122
38,122
32,123
77,123
42,124
68,124
71,124
87,124
88,124
101,124
14,125
69,125
11,128
33,128
98,128
100,128
45,130
59,130
46,132
70,132
42,137
68,137
71,137
87,137
88,137
101,137
124,137
99,139
60,142
15,145
35,145
56,145
106,145
11,146
33,146
98,146
100,146
128,146
134,147
40,149
63,150
13,151
38,151
122,151
15,152
35,152
56,152
106,152
145,152
10,153
24,153
42,154
68,154
71,154
87,154
88,154
101,154
124,154
137,154
45,156
59,156
130,156
109,157
10,158
24,158
153,158
74,160
19,162
37,162
83,162
112,162
42,164
68,164
71,164
87,164
88,164
101,164
124,164
137,164
154,164
21,165
4,166
47,166
28,167
42,169
68,169
71,169
87,169
88,169
101,169
124,169
137,169
154,169
164,169
8,171
82,173
16,174
118,174
121,174
126,176
120,178
21,179
165,179
65,181
67,181
76,181
13,182
38,182
122,182
151,182
10,183
24,183
153,183
158,183
4,184
47,184
166,184
46,186
70,186
132,186
105,187
16,188
118,188
121,188
174,188
23,189
92,190
96,190
42,192
68,192
71,192
87,192
88,192
101,192
124,192
137,192
154,192
164,192
169,192
15,193
35,193
56,193
106,193
145,193
152,193
109,194
157,194
73,196
61,197
85,197
94,197
102,197
108,197
119,198
138,199
195,200
19,201
37,201
83,201
112,201
162,201
19,205
37,205
83,205
112,205
162,205
201,205
36,207
51,208
134,210
147,210
138,212
199,212
42,213
68,213
71,213
87,213
88,213
101,213
124,213
137,213
154,213
164,213
169,213
192,213
206,216
62,217
19,219
37,219
83,219
112,219
162,219
201,219
205,219
4,220
47,220
166,220
184,220
175,221
109,222
157,222
194,222
16,224
118,224
121,224
174,224
188,224
3,225
32,226
77,226
123,226
61,228
85,228
94,228
102,228
108,228
197,228
41,229
49,229
143,230
14,231
69,231
125,231
16,233
118,233
121,233
174,233
188,233
224,233
135,234
211,236
12,237
66,237
11,239
33,239
98,239
100,239
128,239
146,239
61,241
85,241
94,241
102,241
108,241
197,241
228,241
32,242
77,242
123,242
226,242
163,246
2,248
143,249
230,249
195,250
200,250
168,252
11,254
33,254
98,254
100,254
128,254
146,254
239,254
114,255
15,256
35,256
56,256
106,256
145,256
152,256
193,256
143,257
230,257
249,257
227,258
20,260
55,261
214,262
7,263
107,263
116,263
41,265
49,265
229,265
159,266
22,268
97,268
175,269
221,269
238,270
133,272
214,273
262,273
36,274
207,274
104,275
8,276
171,276
105,278
187,278
65,279
67,279
76,279
181,279
25,280
111,280
65,281
67,281
76,281
181,281
279,281
43,283
45,285
59,285
130,285
156,285
65,286
67,286
76,286
181,286
279,286
281,286
191,287
247,288
134,289
147,289
210,289
55,290
261,290
1,291
90,292
16,294
118,294
121,294
174,294
188,294
224,294
233,294
11,295
33,295
98,295
100,295
128,295
146,295
239,295
254,295
155,296
214,297
262,297
273,297
218,298
46,300
70,300
132,300
186,300
126,301
176,301
204,302
114,303
255,303
6,304
73,305
196,305
40,307
149,307
57,308
16,310
118,310
121,310
174,310
188,310
224,310
233,310
294,310
136,311
93,312
36,314
207,314
274,314
202,315
11,316
33,316
98,316
100,316
128,316
146,316
239,316
254,316
295,316
12,319
66,319
237,319
114,321
255,321
303,321
46,322
70,322
132,322
186,322
300,322
32,323
77,323
123,323
226,323
242,323
3,324
225,324
60,325
142,325
313,326
238,327
270,327
50,329
42,330
68,330
71,330
87,330
88,330
101,330
124,330
137,330
154,330
164,330
169,330
192,330
213,330
16,331
118,331
121,331
174,331
188,331
224,331
233,331
294,331
310,331
61,332
85,332
94,332
102,332
108,332
197,332
228,332
241,332
5,333
39,333
64,333
5,334
39,334
64,334
333,334
5,336
39,336
64,336
333,336
334,336
43,337
283,337
19,338
37,338
83,338
112,338
162,338
201,338
205,338
219,338
104,339
275,339
244,340
44,341
41,342
49,342
229,342
265,342
11,343
33,343
98,343
100,343
128,343
146,343
239,343
254,343
295,343
316,343
50,345
329,345
4,346
47,346
166,346
184,346
220,346
84,347
211,348
236,348
243,349
92,350
96,350
190,350
148,351
293,352
26,353
4,355
47,355
166,355
184,355
220,355
346,355
12,357
66,357
237,357
319,357
202,359
315,359
138,360
199,360
212,360
19,361
37,361
83,361
112,361
162,361
201,361
205,361
219,361
338,361
172,362
16,363
118,363
121,363
174,363
188,363
224,363
233,363
294,363
310,363
331,363
204,364
302,364
36,365
207,365
274,365
314,365
271,366
16,367
118,367
121,367
174,367
188,367
224,367
233,367
294,367
310,367
331,367
363,367
12,368
66,368
237,368
319,368
357,368
202,369
315,369
359,369
109,370
157,370
194,370
222,370
13,371
38,371
122,371
151,371
182,371
120,373
178,373
204,374
302,374
364,374
240,375
105,376
187,376
278,376
8,377
171,377
276,377
43,378
283,378
337,378
61,379
85,379
94,379
102,379
108,379
197,379
228,379
241,379
332,379
134,381
147,381
210,381
289,381
13,383
38,383
122,383
151,383
182,383
371,383
61,384
85,384
94,384
102,384
108,384
197,384
228,384
241,384
332,384
379,384
53,386
113,386
7,387
107,387
116,387
263,387
61,388
85,388
94,388
102,388
108,388
197,388
228,388
241,388
332,388
379,388
384,388
148,389
351,389
45,390
59,390
130,390
156,390
285,390
244,392
340,392
16,393
118,393
121,393
174,393
188,393
224,393
233,393
294,393
310,393
331,393
363,393
367,393
43,395
283,395
337,395
378,395
4,397
47,397
166,397
184,397
220,397
346,397
355,397
42,399
68,399
71,399
87,399
