Model,Metric,Train,Validation
LSTM,Loss,0.37096676230430603,0.43433690071105957
LSTM,Accuracy,0.8296888888888889,0.7995735607675906
LSTM,Precision,0.7137096774193549,0.6644518272425249
LSTM,Recall,0.594758064516129,0.5249343832020997
LSTM,F1,0.6488269794721407,0.5865102639296188
LSTM,AUC,0.8809205413511947,0.8359042838943378
