Model,Metric,Train,Validation
Transformer,Loss,0.4006287455558777,0.4363098740577698
Transformer,Accuracy,0.8156444444444444,0.7867803837953091
Transformer,Precision,0.6986784140969163,0.6302250803858521
Transformer,Recall,0.5329301075268817,0.5144356955380578
Transformer,F1,0.6046511627906977,0.5664739884393063
Transformer,AUC,0.8580014704697445,0.8355410252081064
