Model,Metric,Train,Validation
GIN,Loss,0.4051799178123474,0.5119314193725586
GIN,Accuracy,0.8019555555555555,0.7903340440653873
GIN,Precision,0.6438461538461538,0.6360759493670886
GIN,Recall,0.5625,0.5275590551181102
GIN,F1,0.6004304160688665,0.5767575322812052
GIN,AUC,0.856985608500264,0.8039810082219253
