Model,Metric,Train,Validation
SGC,Loss,0.44684037566185,0.4549805521965027
SGC,Accuracy,0.7889777777777778,0.7810945273631841
SGC,Precision,0.6232596232596233,0.622895622895623
SGC,Recall,0.5114247311827957,0.48556430446194226
SGC,F1,0.5618309339239572,0.5457227138643068
SGC,AUC,0.8217812437457926,0.8129575908274623
