Model,Metric,Train,Validation
APPNP,Loss,0.4262861907482147,0.4619233310222626
APPNP,Accuracy,0.8044444444444444,0.7882018479033405
APPNP,Precision,0.6652470187393527,0.6426116838487973
APPNP,Recall,0.5248655913978495,0.49081364829396323
APPNP,F1,0.5867768595041323,0.5565476190476191
APPNP,AUC,0.8369363253461419,0.8076622001197218
