Wall time,Step,Value
1727048646.7110696,0,0.6755491495132446
1727048646.9036007,1,0.6190467476844788
1727048647.093094,2,0.5441202521324158
1727048647.3264709,3,0.4899280071258545
1727048647.5284636,4,0.46298637986183167
1727048647.7294698,5,0.4549277424812317
1727048647.907992,6,0.4558165669441223
1727048648.0825248,7,0.45737555623054504
1727048648.262047,8,0.4542315602302551
1727048648.4385724,9,0.44832542538642883
1727048648.6170967,10,0.44431284070014954
1727048648.8151011,11,0.4438841938972473
1727048648.9946213,12,0.4454478621482849
1727048649.1881037,13,0.446336030960083
1727048649.356653,14,0.4449246823787689
1727048649.5192182,15,0.44145113229751587
1727048649.6892905,16,0.43714219331741333
1727048649.8478665,17,0.4332842528820038
1727048650.0463355,18,0.430640310049057
1727048650.239818,19,0.42939335107803345
1727048650.4044204,20,0.42913100123405457
1727048650.5639517,21,0.4292353689670563
1727048650.7250986,22,0.4292239546775818
1727048650.8856266,23,0.4288814663887024
1727048651.0541744,24,0.4282086491584778
1727048651.2466607,25,0.4273936152458191
1727048651.4162066,26,0.42667096853256226
1727048651.582761,27,0.4261443018913269
1727048651.7499704,28,0.4257816970348358
1727048651.9124937,29,0.42545169591903687
1727048652.0860298,30,0.42504286766052246
1727048652.2625957,31,0.42453086376190186
1727048652.4525719,32,0.4239717423915863
1727048652.6291618,33,0.42345747351646423
1727048652.7933311,34,0.42304304242134094
1727048652.975774,35,0.4227261245250702
1727048653.1810257,36,0.4224603772163391
1727048653.355479,37,0.4222017228603363
1727048653.5160065,38,0.42194026708602905
1727048653.7142346,39,0.4216972589492798
1727048653.89176,40,0.42149612307548523
1727048654.0543256,41,0.42133909463882446
1727048654.2338455,42,0.4211890995502472
1727048654.3834894,43,0.4210023581981659
1727048654.5480044,44,0.42074981331825256
1727048654.716748,45,0.4204480051994324
1727048654.9052432,46,0.4201553463935852
1727048655.0668108,47,0.41993480920791626
1727048655.241344,48,0.41980308294296265
1727048655.4069138,49,0.4197161793708801
1727048655.577445,50,0.4196070432662964
1727048655.7355516,51,0.4194357097148895
1727048655.9001112,52,0.41921544075012207
1727048656.1015725,53,0.4189968705177307
1727048656.268129,54,0.4188309907913208
1727048656.425748,55,0.41871440410614014
1727048656.5803359,56,0.4186108112335205
1727048656.7544305,57,0.4184716045856476
1727048656.9307356,58,0.4182908833026886
1727048657.1302195,59,0.4180954098701477
1727048657.4014976,60,0.41792312264442444
1727048657.5830102,61,0.4177854657173157
1727048657.7520494,62,0.41765785217285156
1727048657.9634979,63,0.41751813888549805
1727048658.1679502,64,0.4173623323440552
1727048658.325565,65,0.4172009527683258
1727048658.5130281,66,0.4170535206794739
1727048658.6940665,67,0.4169207811355591
1727048658.862657,68,0.4167860150337219
1727048659.0241838,69,0.41663864254951477
1727048659.2129374,70,0.41648420691490173
1727048659.3804886,71,0.4163374602794647
1727048659.537072,72,0.4162038266658783
1727048659.738095,73,0.4160721004009247
1727048659.9126706,74,0.41592803597450256
1727048660.0831742,75,0.41577205061912537
1727048660.2477324,76,0.41561636328697205
1727048660.4112954,77,0.41547009348869324
1727048660.5688734,78,0.4153278172016144
1727048660.756949,79,0.415181040763855
1727048660.943406,80,0.4150269627571106
1727048661.1249213,81,0.4148699641227722
1727048661.2855337,82,0.4147155284881592
1727048661.4420714,83,0.41456276178359985
1727048661.602642,84,0.41440439224243164
1727048661.7727585,85,0.41424065828323364
1727048661.9334016,86,0.4140750467777252
1727048662.139849,87,0.41391223669052124
1727048662.313895,88,0.41375017166137695
1727048662.475464,89,0.4135824143886566
1727048662.6531036,90,0.4134097993373871
1727048662.818595,91,0.4132353663444519
1727048663.0120766,92,0.41306188702583313
1727048663.1866095,93,0.4128868579864502
1727048663.3731108,94,0.4127110540866852
1727048663.5367148,95,0.4125315546989441
1727048663.7027638,96,0.41235268115997314
1727048663.875344,97,0.412174254655838
1727048664.040858,98,0.41199278831481934
1727048664.2183828,99,0.41180604696273804
