Wall time,Step,Value
1727048614.6934483,0,0.36817777156829834
1727048614.7054162,1,0.4903111159801483
1727048614.7193782,2,0.672177791595459
1727048614.7333412,3,0.7370666861534119
1727048614.745311,4,0.7452444434165955
1727048614.7603123,5,0.7455999851226807
1727048614.7752306,6,0.7438222169876099
1727048614.789193,7,0.7434666752815247
1727048614.8111331,8,0.7441777586936951
1727048614.8260932,9,0.7479110956192017
1727048614.841053,10,0.7504000067710876
1727048614.856014,11,0.7578666806221008
1727048614.8709724,12,0.7637333273887634
1727048614.8849356,13,0.7671111226081848
1727048614.897902,14,0.7726222276687622
1727048614.9138591,15,0.77920001745224
1727048614.9298158,16,0.7804444432258606
1727048614.944145,17,0.781511127948761
1727048614.959105,18,0.7857778072357178
1727048614.9720705,19,0.7864888906478882
1727048614.9870293,20,0.7889778017997742
1727048614.9999945,21,0.7902222275733948
1727048615.0139573,22,0.79057776927948
1727048615.028919,23,0.7902222275733948
1727048615.043878,24,0.7912889122962952
1727048615.0578408,25,0.7936000227928162
1727048615.0747979,26,0.7964444160461426
1727048615.0887587,27,0.7968000173568726
1727048615.1027205,28,0.7978666424751282
1727048615.1176808,29,0.7978666424751282
1727048615.1316442,30,0.7992888689041138
1727048615.1456072,31,0.8003555536270142
1727048615.1595688,32,0.8015999794006348
1727048615.1755257,33,0.802133321762085
1727048615.1884916,34,0.8005333542823792
1727048615.203451,35,0.8014222383499146
1727048615.2184114,36,0.8026666641235352
1727048615.23595,37,0.8032000064849854
1727048615.25091,38,0.8049777746200562
1727048615.2658691,39,0.8051555752754211
1727048615.2808292,40,0.8058666586875916
1727048615.2967885,41,0.8051555752754211
1727048615.3127444,42,0.8053333163261414
1727048615.3267074,43,0.8049777746200562
1727048615.339672,44,0.8047999739646912
1727048615.3536353,45,0.8049777746200562
1727048615.368595,46,0.8051555752754211
1727048615.384552,47,0.8058666586875916
1727048615.4005098,48,0.8071110844612122
1727048615.4164677,49,0.8081777691841125
1727048615.4304304,50,0.8094221949577332
1727048615.445389,51,0.8081777691841125
1727048615.4583554,52,0.8081777691841125
1727048615.471321,53,0.8083555698394775
1727048615.528165,54,0.8085333108901978
1727048615.5590818,55,0.8081777691841125
1727048615.5780313,56,0.8080000281333923
1727048615.5979774,57,0.8074666857719421
1727048615.6169283,58,0.8078222274780273
1727048615.6348789,59,0.8076444268226624
1727048615.656821,60,0.8085333108901978
1727048615.6789694,61,0.8081777691841125
1727048615.695923,62,0.8092444539070129
1727048615.716867,63,0.8092444539070129
1727048615.7368145,64,0.809066653251648
1727048615.7547672,65,0.8094221949577332
1727048615.7717204,66,0.8094221949577332
1727048615.7866824,67,0.8097777962684631
1727048615.8554962,68,0.8097777962684631
1727048615.9632092,69,0.8099555373191833
1727048616.007091,70,0.8110222220420837
1727048616.0300303,71,0.8115555644035339
1727048616.0529692,72,0.8112000226974487
1727048616.0779026,73,0.811377763748169
1727048616.101839,74,0.8115555644035339
1727048616.1267712,75,0.8115555644035339
1727048616.180627,76,0.8115555644035339
1727048616.2135394,77,0.8120889067649841
1727048616.261412,78,0.8120889067649841
1727048616.2973156,79,0.8120889067649841
1727048616.3342173,80,0.8120889067649841
1727048616.3641362,81,0.8126222491264343
1727048616.390067,82,0.8124444484710693
1727048616.4159982,83,0.8129777908325195
1727048616.4399335,84,0.8129777908325195
1727048616.4658644,85,0.8131555318832397
1727048616.492793,86,0.8131555318832397
1727048616.5217159,87,0.8129777908325195
1727048616.551635,88,0.8129777908325195
1727048616.5735767,89,0.8133333325386047
1727048616.5925262,90,0.8131555318832397
1727048616.6204638,91,0.8144000172615051
1727048616.6384034,92,0.8144000172615051
1727048616.6533632,93,0.8145777583122253
1727048616.6718624,94,0.8145777583122253
1727048616.6858232,95,0.8154666423797607
1727048616.7007842,96,0.8159999847412109
1727048616.7157438,97,0.8161777853965759
1727048616.730703,98,0.8158222436904907
1727048616.7456627,99,0.8158222436904907
